s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-0.7568,0.2654,0.300,NORMAL,1
0.2725,-0.4997,0.1752,0.300,NORMAL,1
0.5450,-0.2425,0.0851,0.300,NORMAL,1
0.8175,0.0146,-0.0051,0.300,NORMAL,1
1.0900,0.2718,-0.0953,0.300,NORMAL,1
1.3625,0.5289,-0.1855,0.300,NORMAL,1
1.6350,0.7861,-0.2757,0.300,NORMAL,1
1.9075,1.0432,-0.3658,0.300,NORMAL,1
2.1800,1.3003,-0.4560,0.300,NORMAL,1
2.4528,1.5611,-0.5362,0.300,NORMAL,1
2.7383,1.8315,-0.6281,0.300,NORMAL,1
3.0238,2.0983,-0.7295,0.300,NORMAL,1
3.3093,2.3652,-0.8309,0.300,NORMAL,1
3.5948,2.6320,-0.9323,0.300,NORMAL,1
3.8802,2.8989,-1.0337,0.300,NORMAL,1
4.1657,3.1657,-1.1351,0.300,NORMAL,1
4.4512,3.4326,-1.2365,0.300,NORMAL,1
4.7366,3.6994,-1.3379,0.300,NORMAL,1
5.0221,3.9663,-1.4393,0.300,NORMAL,1
5.3076,4.2331,-1.5407,0.300,NORMAL,1
5.5930,4.5000,-1.6421,0.300,NORMAL,1
5.8785,4.7668,-1.7435,0.300,NORMAL,1
6.1662,5.0450,-1.8167,0.300,NORMAL,1
6.4320,5.2976,-1.8999,0.300,NORMAL,1
6.6966,5.5367,-2.0130,0.300,NORMAL,1
6.9611,5.7757,-2.1262,0.300,NORMAL,1
7.2256,6.0148,-2.2393,0.300,NORMAL,1
7.4901,6.2539,-2.3525,0.300,NORMAL,1
7.7546,6.4930,-2.4656,0.300,NORMAL,1
8.0191,6.7321,-2.5788,0.300,NORMAL,1
8.3127,7.0252,-2.5956,0.300,NORMAL,1
8.4668,7.1683,-2.6527,0.300,NORMAL,1
8.6209,7.3115,-2.7097,0.300,NORMAL,1
8.9191,7.5392,-2.9023,0.300,NORMAL,1
9.2174,7.7669,-3.0949,0.300,NORMAL,1
9.5157,7.9947,-3.2875,0.300,NORMAL,1
9.6753,8.1421,-3.3487,0.300,NORMAL,1
9.8349,8.2895,-3.4099,0.300,NORMAL,1
10.1257,8.5315,-3.5712,0.300,NORMAL,1
10.4042,8.6928,-3.7982,0.300,NORMAL,1
10.6826,8.8541,-4.0251,0.300,NORMAL,1
10.9610,9.0153,-4.2521,0.300,NORMAL,1
11.2394,9.1766,-4.4791,0.300,NORMAL,1
11.5266,9.3886,-4.6728,0.300,NORMAL,1
11.7956,9.5624,-4.8781,0.300,NORMAL,1
12.0595,9.6801,-5.1143,0.300,NORMAL,1
12.3233,9.7977,-5.3504,0.300,NORMAL,1
12.5871,9.9154,-5.5866,0.300,NORMAL,1
12.8510,10.0331,-5.8227,0.300,NORMAL,1
13.1148,10.1507,-6.0588,0.300,NORMAL,1
13.3950,10.3434,-6.2623,0.300,NORMAL,1
13.6618,10.4884,-6.4863,0.300,NORMAL,1
13.9197,10.5536,-6.7357,0.300,NORMAL,1
14.1775,10.6189,-6.9851,0.300,NORMAL,1
14.4353,10.6841,-7.2346,0.300,NORMAL,1
14.6931,10.7494,-7.4840,0.300,NORMAL,1
14.9509,10.8146,-7.7334,0.300,NORMAL,1
15.2203,10.9465,-7.9684,0.300,NORMAL,1
15.3721,10.9902,-8.1137,0.300,NORMAL,1
15.5238,11.0338,-8.2590,0.300,NORMAL,1
15.8236,11.0631,-8.5574,0.300,NORMAL,1
16.1235,11.0923,-8.8558,0.300,NORMAL,1
16.4234,11.1215,-9.1543,0.300,NORMAL,1
16.7232,11.1508,-9.4527,0.300,NORMAL,1
16.8739,11.1778,-9.6009,0.300,NORMAL,1
17.0245,11.2048,-9.7491,0.300,NORMAL,1
17.3182,11.2404,-10.0406,0.300,NORMAL,1
17.6112,11.2506,-10.3334,0.300,NORMAL,1
17.9042,11.2609,-10.6262,0.300,NORMAL,1
18.1972,11.2711,-10.9190,0.300,NORMAL,1
18.4902,11.2814,-11.2119,0.300,NORMAL,1
18.7832,11.2916,-11.5047,0.300,NORMAL,1
18.9333,11.3248,-11.6511,0.300,NORMAL,1
19.0834,11.3580,-11.7975,0.300,NORMAL,1
19.3552,11.3895,-12.0675,0.300,NORMAL,1
19.6224,11.3597,-12.3330,0.300,NORMAL,1
19.8896,11.3300,-12.5985,0.300,NORMAL,1
20.1567,11.3002,-12.8640,0.300,NORMAL,1
20.4239,11.2704,-13.1295,0.300,NORMAL,1
20.6911,11.2406,-13.3950,0.300,NORMAL,1
20.8463,11.2929,-13.5412,0.300,NORMAL,1
21.0016,11.3453,-13.6874,0.300,NORMAL,1
21.2898,11.3576,-13.9753,0.300,NORMAL,1
21.5548,11.2410,-14.2133,0.300,NORMAL,1
21.8198,11.1245,-14.4513,0.300,NORMAL,1
22.0848,11.0079,-14.6893,0.300,NORMAL,1
22.3499,10.8913,-14.9273,0.300,NORMAL,1
22.5081,10.8970,-15.0854,0.300,NORMAL,1
22.6663,10.9026,-15.2435,0.300,NORMAL,1
22.8210,10.8487,-15.3885,0.300,NORMAL,1
22.9757,10.7948,-15.5335,0.300,NORMAL,1
23.2649,10.5845,-15.7320,0.300,NORMAL,1
23.5541,10.3742,-15.9306,0.300,NORMAL,1
23.8433,10.1638,-16.1291,0.300,NORMAL,1
24.1326,9.9535,-16.3276,0.300,NORMAL,1
24.4218,9.7432,-16.5261,0.300,NORMAL,1
24.7196,9.5729,-16.7704,0.300,NORMAL,1
24.9896,9.3939,-16.9727,0.300,NORMAL,1
25.2542,9.1753,-17.1216,0.300,NORMAL,1
25.5187,8.9566,-17.2705,0.300,NORMAL,1
25.7833,8.7379,-17.4194,0.300,NORMAL,1
26.0478,8.5193,-17.5683,0.300,NORMAL,1
26.3124,8.3006,-17.7172,0.300,NORMAL,1
26.5769,8.0820,-17.8661,0.300,NORMAL,1
26.7459,8.0151,-18.0213,0.300,NORMAL,1
26.9149,7.9482,-18.1765,0.300,NORMAL,1
27.0696,7.8351,-18.2820,0.300,NORMAL,1
27.2242,7.7221,-18.3875,0.300,NORMAL,1
27.4985,7.4508,-18.4285,0.300,NORMAL,1
27.7729,7.1795,-18.4696,0.300,NORMAL,1
28.0473,6.9082,-18.5106,0.300,NORMAL,1
28.3216,6.6370,-18.5516,0.300,NORMAL,1
28.5961,6.3664,-18.5972,0.300,NORMAL,1
28.8671,6.0986,-18.6392,0.300,NORMAL,1
29.1381,5.8302,-18.6767,0.300,NORMAL,1
29.4092,5.5618,-18.7141,0.300,NORMAL,1
29.6802,5.2933,-18.7516,0.300,NORMAL,1
29.9654,5.0107,-18.7136,0.300,NORMAL,1
30.2431,4.7333,-18.7275,0.300,NORMAL,1
30.5137,4.4773,-18.8152,0.300,NORMAL,1
30.7843,4.2213,-18.9030,0.300,NORMAL,1
31.0549,3.9654,-18.9907,0.300,NORMAL,1
31.3255,3.7094,-19.0785,0.300,NORMAL,1
31.5961,3.4534,-19.1662,0.300,NORMAL,1
31.8835,3.1662,-19.1763,0.300,NORMAL,1
32.1524,2.9034,-19.2331,0.300,NORMAL,1
32.4114,2.6818,-19.3672,0.300,NORMAL,1
32.6704,2.4601,-19.5012,0.300,NORMAL,1
32.9295,2.2385,-19.6353,0.300,NORMAL,1
33.1885,2.0168,-19.7693,0.300,NORMAL,1
33.4475,1.7952,-19.9034,0.300,NORMAL,1
33.7193,1.5338,-19.9779,0.300,NORMAL,1
34.0083,1.2784,-20.1132,0.300,NORMAL,1
34.2926,1.0637,-20.2995,0.300,NORMAL,1
34.5768,0.8490,-20.4857,0.300,NORMAL,1
34.8610,0.6343,-20.6720,0.300,NORMAL,1
35.1453,0.4196,-20.8582,0.300,NORMAL,1
35.4295,0.2049,-21.0445,0.300,NORMAL,1
35.7138,-0.0099,-21.2307,0.300,NORMAL,1
35.8962,-0.1902,-21.2581,0.300,NORMAL,1
36.0786,-0.3706,-21.2854,0.300,NORMAL,1
36.2377,-0.5090,-21.3639,0.300,NORMAL,1
36.3968,-0.6473,-21.4424,0.300,NORMAL,1
36.6663,-0.7400,-21.6955,0.300,NORMAL,1
36.9357,-0.8326,-21.9485,0.300,NORMAL,1
37.2052,-0.9253,-22.2016,0.300,NORMAL,1
37.4747,-1.0179,-22.4546,0.300,NORMAL,1
37.7441,-1.1106,-22.7077,0.300,NORMAL,1
38.0344,-1.2926,-22.9338,0.300,NORMAL,1
38.3311,-1.4146,-23.2042,0.300,NORMAL,1
38.6195,-1.4507,-23.4903,0.300,NORMAL,1
38.9079,-1.4869,-23.7764,0.300,NORMAL,1
39.1963,-1.5231,-24.0625,0.300,NORMAL,1
39.4846,-1.5593,-24.3486,0.300,NORMAL,1
39.7730,-1.5954,-24.6347,0.300,NORMAL,1
40.0614,-1.6347,-24.9204,0.300,NORMAL,1
40.3269,-1.6693,-25.1837,0.300,NORMAL,1
40.5924,-1.7004,-25.4473,0.300,NORMAL,1
40.8578,-1.7315,-25.7109,0.300,NORMAL,1
41.1233,-1.7627,-25.9746,0.300,NORMAL,1
41.3888,-1.7938,-26.2382,0.300,NORMAL,1
41.6542,-1.8237,-26.5020,0.300,NORMAL,1
41.9459,-1.8576,-26.7916,0.300,NORMAL,1
42.2375,-1.8927,-27.0811,0.300,NORMAL,1
42.5291,-1.9278,-27.3707,0.300,NORMAL,1
42.8207,-1.9628,-27.6602,0.300,NORMAL,1
43.1124,-1.9979,-27.9497,0.300,NORMAL,1
43.4040,-2.0330,-28.2392,0.300,NORMAL,1
43.6956,-2.0681,-28.5287,0.300,NORMAL,1
43.9872,-2.1032,-28.8182,0.300,NORMAL,1
44.2790,-2.1444,-29.1070,0.300,NORMAL,1
44.5758,-2.1816,-29.4014,0.300,NORMAL,1
44.8725,-2.2128,-29.6965,0.300,NORMAL,1
45.1692,-2.2440,-29.9916,0.300,NORMAL,1
45.4660,-2.2752,-30.2867,0.300,NORMAL,1
45.7627,-2.3063,-30.5818,0.300,NORMAL,1
46.0595,-2.3375,-30.8769,0.300,NORMAL,1
46.3562,-2.3673,-31.1722,0.300,NORMAL,1
46.6383,-2.3965,-31.4528,0.300,NORMAL,1
46.9204,-2.4271,-31.7332,0.300,NORMAL,1
47.2025,-2.4578,-32.0137,0.300,NORMAL,1
47.4846,-2.4885,-32.2941,0.300,NORMAL,1
47.7668,-2.5192,-32.5745,0.300,NORMAL,1
48.0491,-2.5404,-32.8561,0.300,NORMAL,1
48.3215,-2.5668,-33.1272,0.300,NORMAL,1
48.5938,-2.6029,-33.3971,0.300,NORMAL,1
48.8661,-2.6391,-33.6670,0.300,NORMAL,1
49.1384,-2.6752,-33.9369,0.300,NORMAL,1
49.4107,-2.7114,-34.2068,0.300,NORMAL,1
49.6831,-2.7476,-34.4767,0.300,NORMAL,1
49.9555,-2.7913,-34.7456,0.300,NORMAL,1
50.2491,-2.8320,-35.0363,0.300,NORMAL,1
50.5425,-2.8656,-35.3279,0.300,NORMAL,1
50.8360,-2.8992,-35.6194,0.300,NORMAL,1
51.1295,-2.9328,-35.9110,0.300,NORMAL,1
51.4230,-2.9663,-36.2026,0.300,NORMAL,1
51.7165,-2.9999,-36.4941,0.300,NORMAL,1
52.0100,-3.0321,-36.7858,0.300,NORMAL,1
52.2977,-3.0646,-37.0718,0.300,NORMAL,1
52.5855,-3.0986,-37.3575,0.300,NORMAL,1
52.8733,-3.1325,-37.6433,0.300,NORMAL,1
53.1610,-3.1665,-37.9290,0.300,NORMAL,1
53.4488,-3.2004,-38.2148,0.300,NORMAL,1
53.7366,-3.2344,-38.5005,0.300,NORMAL,1
54.0246,-3.2779,-38.7852,0.300,NORMAL,1
54.2970,-3.3135,-39.0553,0.300,NORMAL,1
54.5693,-3.3389,-39.3265,0.300,NORMAL,1
54.8417,-3.3643,-39.5976,0.300,NORMAL,1
55.1140,-3.3897,-39.8688,0.300,NORMAL,1
55.3863,-3.4151,-40.1399,0.300,NORMAL,1
55.6587,-3.4405,-40.4110,0.300,NORMAL,1
55.9310,-3.4658,-40.6822,0.000,FINISH,1
