s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,0.0000,0.0000,0.000,NORMAL,1,ROUTE,ROUTE_START,START,,,PREVIEW_DEFAULT
0.1000,-0.0943,0.0332,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.1999,-0.1886,0.0664,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.2999,-0.2829,0.0996,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.3999,-0.3772,0.1328,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.4999,-0.4715,0.1660,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.5999,-0.5658,0.1993,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.6998,-0.6601,0.2325,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.7999,-0.7544,0.2658,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.8999,-0.8487,0.2992,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.9998,-0.9429,0.3325,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.0998,-1.0371,0.3660,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.1998,-1.1313,0.3995,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.2997,-1.2255,0.4330,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.3998,-1.3197,0.4667,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.4997,-1.4138,0.5004,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.5998,-1.5079,0.5343,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.6997,-1.6019,0.5683,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.7997,-1.6959,0.6024,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.8997,-1.7898,0.6367,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.9997,-1.8837,0.6711,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.0997,-1.9775,0.7058,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.1997,-2.0712,0.7406,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.2996,-2.1648,0.7756,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.3996,-2.2584,0.8109,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.4995,-2.3518,0.8464,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.5996,-2.4452,0.8822,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.6995,-2.5385,0.9181,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.7995,-2.6317,0.9543,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.8995,-2.7248,0.9907,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.9995,-2.8179,1.0273,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.0995,-2.9109,1.0640,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.1994,-3.0038,1.1008,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.2994,-3.0968,1.1376,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.3994,-3.1897,1.1745,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.4994,-3.2827,1.2112,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.5994,-3.3758,1.2477,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.6993,-3.4689,1.2841,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.7993,-3.5622,1.3201,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.8993,-3.6556,1.3558,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.9993,-3.7491,1.3912,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.0993,-3.8428,1.4261,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.1992,-3.9366,1.4606,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.2992,-4.0306,1.4947,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.3992,-4.1248,1.5283,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
