s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-0.0000,0.0000,0.000,NORMAL,1
0.2934,-0.2765,0.0982,0.000,NORMAL,1
0.5867,-0.5529,0.1963,0.000,NORMAL,1
0.8801,-0.8294,0.2945,0.000,NORMAL,1
1.1735,-1.1058,0.3926,0.000,NORMAL,1
1.4668,-1.3823,0.4908,0.000,NORMAL,1
1.7659,-1.6641,0.5909,0.000,NORMAL,1
2.0649,-1.9459,0.6910,0.000,NORMAL,1
2.3640,-2.2277,0.7911,0.000,NORMAL,1
2.6630,-2.5095,0.8912,0.000,NORMAL,1
2.9621,-2.7913,0.9913,0.000,NORMAL,1
3.2328,-3.0374,1.1041,0.000,NORMAL,1
3.5035,-3.2834,1.2170,0.000,NORMAL,1
3.7742,-3.5295,1.3298,0.000,NORMAL,1
3.9758,-3.7198,1.3962,0.000,NORMAL,1
4.1773,-3.9101,1.4627,0.000,NORMAL,1
4.3789,-4.1004,1.5291,0.000,NORMAL,1
4.6055,-4.3137,1.6056,0.000,NORMAL,1
4.8322,-4.5271,1.6822,0.000,NORMAL,1
5.0588,-4.7404,1.7587,0.000,NORMAL,1
5.2909,-4.9660,1.8133,0.000,NORMAL,1
5.5230,-5.1915,1.8678,0.000,NORMAL,1
5.7551,-5.4171,1.9224,0.000,NORMAL,1
5.9649,-5.6149,1.9925,0.000,NORMAL,1
6.1748,-5.8128,2.0626,0.000,NORMAL,1
6.3847,-6.0106,2.1327,0.000,NORMAL,1
6.5883,-6.2056,2.1914,0.000,NORMAL,1
6.7920,-6.4006,2.2500,0.000,NORMAL,1
6.9956,-6.5956,2.3087,0.000,NORMAL,1
7.2443,-6.8325,2.3845,0.000,NORMAL,1
7.4930,-7.0693,2.4602,0.000,NORMAL,1
7.7417,-7.3062,2.5360,0.000,NORMAL,1
8.0344,-7.5838,2.6287,0.000,NORMAL,1
8.3271,-7.8615,2.7214,0.000,NORMAL,1
8.5520,-8.0657,2.8158,0.000,NORMAL,1
8.7770,-8.2698,2.9102,0.000,NORMAL,1
9.0019,-8.4740,3.0046,0.000,NORMAL,1
9.2083,-8.6724,3.0613,0.000,NORMAL,1
9.4147,-8.8709,3.1180,0.000,NORMAL,1
9.6210,-9.0693,3.1747,0.000,NORMAL,1
9.9182,-9.3531,3.2629,0.000,NORMAL,1
10.2154,-9.6369,3.3510,0.000,NORMAL,1
10.4889,-9.8906,3.4531,0.000,NORMAL,1
10.7623,-10.1443,3.5552,0.000,NORMAL,1
10.9686,-10.3380,3.6260,0.000,NORMAL,1
11.1748,-10.5317,3.6969,0.000,NORMAL,1
11.3811,-10.7254,3.7677,0.000,NORMAL,1
11.5963,-10.9228,3.8533,0.000,NORMAL,1
11.8115,-11.1203,3.9390,0.000,NORMAL,1
12.0267,-11.3177,4.0246,0.000,NORMAL,1
12.2458,-11.5273,4.0887,0.000,NORMAL,1
12.4650,-11.7368,4.1527,0.000,NORMAL,1
12.6841,-11.9464,4.2168,0.000,NORMAL,1
12.9068,-12.1511,4.3046,0.000,NORMAL,1
13.1296,-12.3558,4.3924,0.000,NORMAL,1
13.3523,-12.5605,4.4802,0.000,NORMAL,1
13.5736,-12.7693,4.5535,0.000,NORMAL,1
13.7949,-12.9780,4.6269,0.000,NORMAL,1
14.0161,-13.1868,4.7002,0.000,NORMAL,1
14.1765,-13.0418,4.6317,0.000,NORMAL,1
14.4699,-13.3213,4.7210,0.000,NORMAL,1
14.7634,-13.6009,4.8102,0.000,NORMAL,1
14.9748,-13.8058,4.8622,0.000,NORMAL,1
15.1862,-14.0108,4.9141,0.000,NORMAL,1
15.3977,-14.2157,4.9661,0.000,NORMAL,1
15.6105,-14.4094,5.0542,0.000,NORMAL,1
15.8233,-14.6032,5.1424,0.000,NORMAL,1
16.0362,-14.7969,5.2305,0.000,NORMAL,1
16.3148,-15.0615,5.3178,0.000,NORMAL,1
16.5934,-15.3261,5.4051,0.000,NORMAL,1
16.8024,-15.5277,5.4599,0.000,NORMAL,1
17.0113,-15.7294,5.5147,0.000,NORMAL,1
17.2203,-15.9310,5.5695,0.000,NORMAL,1
17.4569,-16.1476,5.6649,0.000,NORMAL,1
17.6936,-16.3642,5.7602,0.000,NORMAL,1
17.9303,-16.5808,5.8556,0.000,NORMAL,1
18.1362,-16.7764,5.9201,0.000,NORMAL,1
18.3422,-16.9720,5.9846,0.000,NORMAL,1
18.5482,-17.1676,6.0491,0.000,NORMAL,1
18.7919,-17.3947,6.1376,0.000,NORMAL,1
19.0357,-17.6219,6.2261,0.000,NORMAL,1
19.2794,-17.8490,6.3146,0.000,NORMAL,1
19.5446,-18.1029,6.3909,0.000,NORMAL,1
19.8097,-18.3569,6.4672,0.000,NORMAL,1
20.0749,-18.6108,6.5435,0.000,NORMAL,1
20.3164,-18.8426,6.6113,0.000,NORMAL,1
20.5580,-19.0745,6.6790,0.000,NORMAL,1
20.7995,-19.3063,6.7468,0.000,NORMAL,1
21.0989,-19.5857,6.8544,0.000,NORMAL,1
21.3983,-19.8650,6.9621,0.000,NORMAL,1
21.6977,-20.1444,7.0697,0.000,NORMAL,1
21.9309,-20.3638,7.1488,0.000,NORMAL,1
22.1641,-20.5832,7.2278,0.000,NORMAL,1
22.3973,-20.8026,7.3069,0.000,NORMAL,1
22.6493,-21.0465,7.3703,0.000,NORMAL,1
22.9014,-21.2905,7.4337,0.000,NORMAL,1
23.1534,-21.5344,7.4971,0.000,NORMAL,1
