event_id,source_start,source_end,fsm_zone,runtime_mission,branch_group,branch_option,event_type,action,condition,hold_sec,direction_after,route_phase,description_ko
ROUTE_START,0,0,ROUTE,NORMAL,,,ROUTE_START,START,,,,,출발 지점
HILL_START,1,1,HILL,HILL,,,ZONE_START,ENTER_ZONE,,,,,경사로 구간 시작
HILL_STOP,2,2,HILL,HILL,,,STOP_GATE,STOP_THEN_HOLD,ALWAYS_ONCE,3.0,,HILL_STOP_LINE,정지선 직전 C09-002에서 완전 정지 후 3초 유지
HILL_END,3,3,HILL,HILL,,,ZONE_END,EXIT_ZONE,,,,,경사로 구간 종료
BEND_START,4,4,BEND,NORMAL,,,ZONE_START,ENTER_ZONE,,,,,굴절 코스 시작
BEND_END,5,5,BEND,NORMAL,,,ZONE_END,EXIT_ZONE,,,,,굴절 코스 종료
TRAFFIC_1_RED_STOP,6,7,TRAFFIC,TRAFFIC,,,CONDITIONAL_STOP_ZONE,STOP_IF_CONDITION,TRAFFIC_LIGHT_RED,,,,첫 번째 신호등 적색 정지 구간
S_CURVE_START,8,8,S_CURVE,NORMAL,,,ZONE_START,ENTER_ZONE,,,,,S자 코스 시작
S_CURVE_END,9,9,S_CURVE,NORMAL,,,ZONE_END,EXIT_ZONE,,,,,S자 코스 종료
TRAFFIC_2_RED_STOP,10,11,TRAFFIC,TRAFFIC,,,CONDITIONAL_STOP_ZONE,STOP_IF_CONDITION,TRAFFIC_LIGHT_RED,,,,두 번째 신호등 적색 정지 구간
T_PARK_START,12,12,T_PARK,PERP_PARK,T,,ZONE_START,ENTER_ZONE,,,,,T자 주차 진입
T1_FORWARD_TO_REVERSE,35,35,T_PARK,PERP_PARK,T,1,DIRECTION_CHANGE,SET_REVERSE,,,-1,,T자 주차 1번 전진에서 후진 전환
T1_REVERSE_TO_FORWARD,52,52,T_PARK,PERP_PARK,T,1,DIRECTION_CHANGE,SET_FORWARD,,,1,,T자 주차 1번 주차 완료 후 전진 전환
T2_FORWARD_TO_REVERSE,65,65,T_PARK,PERP_PARK,T,2,DIRECTION_CHANGE,SET_REVERSE,,,-1,,T자 주차 2번 전진에서 후진 전환
T2_REVERSE_TO_FORWARD,84,84,T_PARK,PERP_PARK,T,2,DIRECTION_CHANGE,SET_FORWARD,,,1,,T자 주차 2번 주차 완료 후 전진 전환
T_PARK_END,100,100,T_PARK,PERP_PARK,T,,ZONE_END,EXIT_ZONE,,,,,T자 주차 구간 종료
TRAFFIC_3_RED_STOP,101,102,TRAFFIC,TRAFFIC,,,CONDITIONAL_STOP_ZONE,STOP_IF_CONDITION,TRAFFIC_LIGHT_RED,,,,세 번째 신호등 적색 정지 구간
DUMMY_OBSTACLE_ZONE,104,105,DUMMY,DUMMY,,,CONDITIONAL_STOP_ZONE,STOP_THEN_HOLD,OBSTACLE_DETECTED,3.0,,,돌발 장애물 감지 시 즉시 정지 후 약 3초 뒤 출발
PARALLEL_PARK_START,106,106,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,,ZONE_START,ENTER_ZONE,,,,BYPASS_START,평행주차 구획을 우회하는 전진 경로 시작
PARALLEL_1_FORWARD_TO_REVERSE,143,143,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,1,DIRECTION_CHANGE,SET_REVERSE,,,-1,REVERSE_START,평행주차 1번 출구에서 완전 정지 후 후진 전환
PARALLEL_1_PARK_COMPLETE,131,131,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,1,STOP_GATE,PARK_COMPLETE,ALWAYS_ONCE,,,PARK_COMPLETE,C09-131 이후 평행주차 시작 직전 경로에 수직인 1.4m 직선 정렬 종점에서 완전 정지
PARALLEL_1_REVERSE_TO_FORWARD,131,131,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,1,DIRECTION_CHANGE,SET_FORWARD,,,1,EXIT_START,평행주차 1번 직선 정렬 종점에서 주차 완료 후 전진 출차
PARALLEL_1_END,143,143,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,1,BRANCH_END,BRANCH_COMPLETE,,,,EXIT_END,평행주차 1번 출구 복귀 완료
PARALLEL_2_FORWARD_TO_REVERSE,,,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,2,DIRECTION_CHANGE,SET_REVERSE,,,-1,REVERSE_START,P1 첫 전진 경로 위에서 원래 P2 전진 주차의 C09-167 기준점에 가장 가깝게 맞춘 지점에서 완전 정지 후 후진 전환
PARALLEL_2_PARK_COMPLETE,167,167,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,2,STOP_GATE,PARK_COMPLETE,ALWAYS_ONCE,,,PARK_COMPLETE,원래 P2 전진 주차 경로 C09-167에 맞춘 P1 복사 궤적의 직선 정렬 종점에서 완전 정지
PARALLEL_2_REVERSE_TO_FORWARD,167,167,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,2,DIRECTION_CHANGE,SET_FORWARD,,,1,EXIT_START,평행주차 2번 직선 정렬 종점에서 주차 완료 후 전진 출차
PARALLEL_2_END,,,PARALLEL_PARK,PARALLEL_PARK,PARALLEL,2,BRANCH_END,BRANCH_COMPLETE,,,,EXIT_END,4.0m 전환곡선 후 P1 첫 전진 경로를 따라 공통 경로 복귀 완료
END_LANE_DECISION_START,192,192,END_LANE,END_LANE,FINAL,,DECISION_START,SELECT_ALLOWED_LANE,GREEN_ARROW_AND_RED_X,,,,종료 허용 차선을 판단하고 선택하기 시작
END_LANE_CHANGE_DEADLINE,193,193,END_LANE,END_LANE,FINAL,,COMMIT_DEADLINE,COMPLETE_LANE_CHANGE,ALLOWED_LANE_LATCHED,,,,이 지점 전에 차선 변경을 반드시 완료
FINISH_LINE,194,194,END_LANE,END_LANE,FINAL,,FINISH_LINE,CROSS_FINISH_LINE,,,,,종료 차선 위치
ROUTE_COMPLETE,195,195,FINISH,FINISH,FINAL,,ROUTE_COMPLETE,FULL_STOP,,,,,차량이 종료 차선을 완전히 통과한 뒤 주행 종료
