point_id,source_index,x_m,y_m
C09-000,0,0.2154,0.0380
C09-001,1,-20.6539,7.0757
C09-002,2,-32.2096,11.0771
C09-003,3,-53.6806,18.4452
C09-004,4,-63.9006,-3.0606
C09-005,5,-39.9525,2.9045
C09-006,6,-35.2082,-14.0501
C09-007,7,-36.1031,-16.1433
C09-008,8,-58.8838,-40.9518
C09-009,9,-78.7389,-18.3396
C09-010,10,-49.5324,-22.1268
C09-011,11,-46.6151,-23.2217
C09-012,12,-29.6514,-34.5706
C09-013,13,-29.9411,-35.4624
C09-014,14,-30.1048,-35.9901
C09-015,15,-30.3727,-36.5647
C09-016,16,-30.6721,-37.2704
C09-017,17,-30.9789,-38.0397
C09-018,18,-31.2876,-38.8333
C09-019,19,-31.5693,-39.4831
C09-020,20,-31.7831,-40.2129
C09-021,21,-32.0183,-40.7402
C09-022,22,-32.2434,-41.2392
C09-023,23,-32.5137,-41.9432
C09-024,24,-32.8081,-42.6521
C09-025,25,-33.0550,-43.2932
C09-026,26,-33.4837,-44.5815
C09-027,27,-33.7626,-45.2985
C09-028,28,-34.0985,-46.0542
C09-029,29,-34.4378,-46.8451
C09-030,30,-34.7728,-47.6532
C09-031,31,-35.0882,-48.4666
C09-032,32,-35.4378,-49.3287
C09-033,33,-35.7503,-50.0940
C09-034,34,-36.1276,-50.9465
C09-035,35,-36.4781,-51.6759
C09-036,36,-36.2643,-51.5143
C09-037,37,-35.8642,-50.7882
C09-038,38,-35.4683,-50.2261
C09-039,39,-35.0329,-49.6379
C09-040,40,-34.4280,-48.9095
C09-041,41,-34.1302,-48.4265
C09-042,42,-33.5136,-48.1771
C09-043,43,-32.7794,-47.9024
C09-044,44,-32.0806,-47.8432
C09-045,45,-31.4367,-47.7889
C09-046,46,-30.9216,-47.7536
C09-047,47,-30.4888,-47.7006
C09-048,48,-29.9090,-48.0207
C09-049,49,-29.4387,-48.3115
C09-050,50,-28.7692,-48.6466
C09-051,51,-28.4008,-48.7264
C09-052,52,-28.1479,-48.9262
C09-053,53,-28.5702,-48.6689
C09-054,54,-29.1771,-48.2384
C09-055,55,-29.5728,-47.9531
C09-056,56,-30.1842,-47.5875
C09-057,57,-30.7772,-47.0889
C09-058,58,-31.2400,-46.5916
C09-059,59,-31.5735,-46.0630
C09-060,60,-31.8626,-45.4791
C09-061,61,-32.0281,-44.5201
C09-062,62,-31.9010,-43.7460
C09-063,63,-31.7067,-42.9769
C09-064,64,-31.4873,-42.1580
C09-065,65,-36.9189,-52.4477
C09-066,66,-36.7212,-52.1284
C09-067,67,-36.2996,-51.5451
C09-068,68,-35.8967,-50.9396
C09-069,69,-35.3239,-50.1422
C09-070,70,-34.8489,-49.6503
C09-071,71,-34.3465,-48.9568
C09-072,72,-33.8874,-48.3342
C09-073,73,-33.4796,-47.8431
C09-074,74,-33.1242,-46.8718
C09-075,75,-32.8025,-46.3394
C09-076,76,-32.4719,-45.9956
C09-077,77,-31.9518,-45.7869
C09-078,78,-31.2277,-45.6183
C09-079,79,-30.4440,-45.8773
C09-080,80,-29.8162,-45.8817
C09-081,81,-29.1949,-45.9946
C09-082,82,-28.5061,-46.2891
C09-083,83,-27.9452,-46.4883
C09-084,84,-27.2625,-46.6465
C09-085,85,-27.6334,-46.5776
C09-086,86,-28.2457,-46.2510
C09-087,87,-29.0805,-45.9438
C09-088,88,-29.9279,-45.5697
C09-089,89,-30.6381,-45.0503
C09-090,90,-31.1979,-44.3400
C09-091,91,-31.5522,-43.4599
C09-092,92,-31.5814,-42.5997
C09-093,93,-31.3464,-41.6445
C09-094,94,-30.9695,-40.5919
C09-095,95,-30.6499,-39.7113
C09-096,96,-30.2208,-38.8409
C09-097,97,-29.8938,-38.1488
C09-098,98,-29.5469,-37.3299
C09-099,99,-29.1575,-36.4097
C09-100,100,-28.8932,-35.4894
C09-101,101,-41.9930,-40.0346
C09-102,102,-39.6573,-34.6353
C09-103,103,-90.1279,-21.9654
C09-104,104,-92.3740,-42.2999
C09-105,105,-32.5383,-66.8476
C09-106,106,-12.7423,-42.7765
C09-107,107,-11.9682,-41.0812
C09-108,108,-11.6895,-40.3554
C09-109,109,-11.4992,-39.4920
C09-110,110,-11.3024,-38.6728
C09-111,111,-11.2047,-38.0749
C09-112,112,-11.2118,-37.1782
C09-113,113,-11.3353,-36.3575
C09-114,114,-11.4856,-35.6280
C09-115,115,-11.6636,-35.1143
C09-116,116,-11.9061,-34.3973
C09-117,117,-12.2057,-33.7213
C09-118,118,-12.4956,-33.0118
C09-119,119,-12.7007,-32.4141
C09-120,120,-13.0372,-31.6090
C09-121,121,-13.4070,-30.7098
C09-122,122,-13.6472,-29.9868
C09-123,123,-13.8193,-29.4733
C09-124,124,-14.0591,-28.6961
C09-125,125,-14.2828,-27.9212
C09-126,126,-14.5030,-27.0308
C09-127,127,-14.7116,-26.4091
C09-128,128,-14.9922,-25.7318
C09-129,129,-15.5331,-25.0833
C09-130,130,-16.2759,-24.5752
C09-131,131,-16.8960,-24.4411
C09-132,132,-17.7510,-24.5855
C09-133,133,-18.4189,-24.8296
C09-134,134,-19.0051,-25.1351
C09-135,135,-19.6857,-25.4357
C09-136,136,-20.4203,-25.7231
C09-137,137,-21.1041,-25.9278
C09-138,138,-21.9355,-26.0681
C09-139,139,-22.8265,-26.1037
C09-140,140,-23.6515,-26.1017
C09-141,141,-24.4981,-26.0526
C09-142,142,-25.2825,-25.9818
C09-143,143,-26.0592,-25.9216
C09-144,144,-11.4648,-38.9503
C09-145,145,-11.1401,-39.2148
C09-146,146,-10.9501,-38.5239
C09-147,147,-10.6866,-37.7947
C09-148,148,-10.4762,-37.2605
C09-149,149,-10.1881,-36.4804
C09-150,150,-9.9391,-35.7900
C09-151,151,-9.6992,-35.1729
C09-152,152,-9.4911,-34.5796
C09-153,153,-9.2740,-33.9491
C09-154,154,-9.1023,-33.3577
C09-155,155,-8.8546,-32.6567
C09-156,156,-8.6239,-32.1387
C09-157,157,-8.3802,-31.5155
C09-158,158,-8.1839,-30.8883
C09-159,159,-8.0655,-30.0516
C09-160,160,-7.9652,-29.3892
C09-161,161,-7.9730,-28.6313
C09-162,162,-8.1022,-27.9324
C09-163,163,-8.3991,-27.4706
C09-164,164,-8.8653,-27.1027
C09-165,165,-9.6053,-26.9642
C09-166,166,-10.2154,-27.1082
C09-167,167,-10.7680,-27.3682
C09-168,168,-11.3082,-27.7198
C09-169,169,-11.9216,-28.1726
C09-170,170,-12.4320,-28.5693
C09-171,171,-12.9862,-28.9084
C09-172,172,-13.5754,-29.2318
C09-173,173,-14.2647,-29.5607
C09-174,174,-14.8302,-29.6873
C09-175,175,-15.3785,-29.5620
C09-176,176,-16.0385,-29.3383
C09-177,177,-16.9069,-28.9958
C09-178,178,-17.6341,-28.6966
C09-179,179,-18.2469,-28.4481
C09-180,180,-18.8681,-28.2220
C09-181,181,-19.4862,-27.8871
C09-182,182,-20.2005,-27.6490
C09-183,183,-21.0030,-27.5238
C09-184,184,-21.7604,-27.4699
C09-185,185,-22.3342,-27.3706
C09-186,186,-22.7273,-27.3098
C09-187,187,-23.0787,-27.2404
C09-188,188,-23.8163,-27.1541
C09-189,189,-24.5380,-26.9667
C09-190,190,-25.4172,-26.6400
C09-191,191,-26.2612,-26.3068
C09-192,192,-28.7569,-12.7886
C09-193,193,-12.9961,-15.6577
C09-194,194,-6.0854,-16.2354
C09-195,195,-4.2300,-16.4422
