s_m,x_m,y_m,target_speed_mps,mission,direction
0.0,0.0,0.0,0.60,NORMAL,1
5.0,5.0,0.0,1.00,NORMAL,1
10.0,10.0,0.5,0.90,NORMAL,1
15.0,15.0,2.0,0.55,S_OBSTACLE,1
20.0,20.0,2.0,0.55,S_OBSTACLE,1
25.0,25.0,1.0,0.80,NORMAL,1
30.0,30.0,0.0,0.50,TRAFFIC,1
35.0,35.0,0.0,0.50,TRAFFIC,1
40.0,40.0,1.0,0.45,HILL,1
42.0,42.0,2.0,0.30,HILL,1
47.0,47.0,4.0,0.70,HILL,1
52.0,52.0,5.0,0.70,NORMAL,1
57.0,57.0,5.0,0.90,DUMMY,1
62.0,62.0,5.0,0.60,DUMMY,1
67.0,67.0,4.0,0.35,PERP_PARK,1
70.0,70.0,3.0,0.25,PERP_PARK,1
73.0,67.5,2.0,0.20,PERP_PARK,-1
76.0,65.0,1.0,0.20,PERP_PARK,-1
79.0,67.5,2.0,0.20,PERP_PARK,1
84.0,72.0,4.0,0.50,NORMAL,1
89.0,77.0,4.0,0.30,PARALLEL_PARK,1
92.0,79.0,3.0,0.20,PARALLEL_PARK,-1
95.0,77.0,2.0,0.20,PARALLEL_PARK,-1
98.0,79.0,3.0,0.20,PARALLEL_PARK,1
103.0,84.0,4.0,0.40,END_LANE,1
108.0,89.0,4.0,0.35,END_LANE,1
111.0,92.0,4.0,0.20,FINISH,1
