s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,-67.5367,3.9481,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.0965,-67.5339,3.8517,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.1929,-67.5312,3.7553,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.2894,-67.5284,3.6589,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.3858,-67.5256,3.5625,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.4823,-67.5229,3.4661,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.5787,-67.5201,3.3696,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.6752,-67.5173,3.2732,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.7717,-67.5145,3.1768,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.8681,-67.5118,3.0804,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.9646,-67.5090,2.9840,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.0610,-67.5062,2.8875,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.1575,-67.5035,2.7911,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.2540,-67.5007,2.6947,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.3504,-67.4979,2.5983,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.4469,-67.4952,2.5019,0.300,NORMAL,1,BEND,BEND_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.5433,-67.4924,2.4055,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
1.6433,-67.4614,2.3104,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
1.7433,-67.4303,2.2154,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
1.8432,-67.3993,2.1204,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
1.9432,-67.3682,2.0253,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.0432,-67.3372,1.9303,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.1431,-67.3062,1.8353,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.2431,-67.2751,1.7402,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.3431,-67.2441,1.6452,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.4431,-67.2131,1.5502,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.5430,-67.1820,1.4551,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.6430,-67.1510,1.3601,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.7430,-67.1200,1.2651,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.8429,-67.0889,1.1701,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
2.9429,-67.0579,1.0750,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.0429,-67.0269,0.9800,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.1428,-66.9958,0.8850,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.2391,-66.9382,0.8079,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.3353,-66.8805,0.7308,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.4316,-66.8229,0.6537,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.5278,-66.7653,0.5767,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.6241,-66.7076,0.4996,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.7203,-66.6500,0.4225,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.8165,-66.5924,0.3454,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
3.9128,-66.5347,0.2684,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
4.0090,-66.4771,0.1913,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
4.1053,-66.4194,0.1142,0.300,NORMAL,1,BEND,,,,0.000,FUNCTION_CHECK_TXT
