s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,-58.3592,-40.9785,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.0946,-58.3395,-40.8860,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.1891,-58.3198,-40.7935,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.2837,-58.3000,-40.7010,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.3783,-58.2803,-40.6086,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.4728,-58.2606,-40.5161,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.5674,-58.2409,-40.4236,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.6619,-58.2212,-40.3311,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.7565,-58.2015,-40.2386,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.8511,-58.1818,-40.1461,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
0.9456,-58.1621,-40.0536,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.0402,-58.1424,-39.9612,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.1348,-58.1227,-39.8687,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.2293,-58.1030,-39.7762,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.3239,-58.0833,-39.6837,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.4184,-58.0636,-39.5912,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.5130,-58.0439,-39.4987,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.6076,-58.0242,-39.4062,0.300,S_OBSTACLE,1,S_CURVE,S_CURVE_START,ENTER_ZONE,,0.000,FUNCTION_CHECK_TXT
1.7021,-58.0045,-39.3137,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
1.7965,-57.9909,-39.2204,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
1.8908,-57.9773,-39.1270,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
1.9851,-57.9638,-39.0337,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.0795,-57.9502,-38.9403,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.1738,-57.9366,-38.8470,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.2682,-57.9231,-38.7536,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.3625,-57.9095,-38.6602,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.4568,-57.8960,-38.5669,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.5512,-57.8824,-38.4735,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.6455,-57.8688,-38.3802,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.7399,-57.8553,-38.2868,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.8342,-57.8417,-38.1935,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
2.9285,-57.8281,-38.1001,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.0229,-57.8146,-38.0067,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.1172,-57.8010,-37.9134,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.2115,-57.7875,-37.8200,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.3059,-57.7739,-37.7267,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.4037,-57.7733,-37.6289,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.5015,-57.7728,-37.5311,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.5993,-57.7722,-37.4332,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.6971,-57.7717,-37.3354,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.7949,-57.7711,-37.2376,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.8927,-57.7706,-37.1398,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
3.9905,-57.7700,-37.0420,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.0883,-57.7694,-36.9442,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.1861,-57.7689,-36.8464,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.2839,-57.7683,-36.7486,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.3818,-57.7678,-36.6508,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.4796,-57.7672,-36.5530,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.5774,-57.7667,-36.4552,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.6752,-57.7661,-36.3574,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.7730,-57.7656,-36.2596,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.8708,-57.7650,-36.1618,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
4.9652,-57.7694,-36.0674,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.0597,-57.7739,-35.9731,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.1541,-57.7783,-35.8788,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.2485,-57.7827,-35.7844,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.3430,-57.7872,-35.6901,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.4374,-57.7916,-35.5958,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.5319,-57.7960,-35.5014,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.6263,-57.8005,-35.4071,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.7208,-57.8049,-35.3127,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.8152,-57.8093,-35.2184,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
5.9096,-57.8138,-35.1241,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
6.0041,-57.8182,-35.0297,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
6.0985,-57.8226,-34.9354,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
6.1930,-57.8271,-34.8411,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
6.2874,-57.8315,-34.7467,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
6.3818,-57.8359,-34.6524,0.300,S_OBSTACLE,1,S_CURVE,,,,0.000,FUNCTION_CHECK_TXT
