source,utm_zone,utm_easting_m,utm_northing_m,latitude_deg,longitude_deg,x_m,y_m
굴절코스,52N,332188.616226,4128610.792038,37.288981899997,127.106875300005,-67.536711,3.948142
굴절코스,52N,332188.629667,4128609.248877,37.288967999998,127.106875799997,-67.492387,2.405455
굴절코스,52N,332189.095675,4128607.718853,37.288954299996,127.106881400004,-66.995819,0.884961
굴절코스,52N,332190.105121,4128606.311147,37.288941800002,127.106893099999,-65.958333,-0.502355
굴절코스,52N,332191.150473,4128604.924921,37.288929499999,127.106905200004,-64.885376,-1.867475
굴절코스,52N,332192.440738,4128603.811290,37.288919700001,127.106920000004,-63.572994,-2.955134
굴절코스,52N,332193.823209,4128602.873412,37.288911500003,127.106935800000,-62.171936,-3.865218
굴절코스,52N,332195.242252,4128601.990301,37.288903800000,127.106951999998,-60.735407,-4.719811
굴절코스,52N,332196.780764,4128601.315697,37.288897999997,127.106969500005,-59.183598,-5.363533
굴절코스,52N,332198.456696,4128600.860341,37.288894200000,127.106988500004,-57.498775,-5.785286
굴절코스,52N,332200.200905,4128600.714416,37.288893199997,127.107008200005,-55.751877,-5.896283
굴절코스,52N,332201.767188,4128601.426750,37.288899899999,127.107025700005,-54.200059,-5.152696
굴절코스,52N,332203.067760,4128602.599502,37.288910699999,127.107040099998,-52.923132,-3.954070
굴절코스,52N,332203.906479,4128604.181100,37.288925100001,127.107049200004,-52.116179,-2.355896
굴절코스,52N,332204.665633,4128605.775391,37.288939600002,127.107057400001,-51.389034,-0.746623
굴절코스,52N,332205.316850,4128607.294143,37.288953399997,127.107064399998,-50.768300,0.784961
굴절코스,52N,332205.880305,4128608.859053,37.288967600000,127.107070400003,-50.236240,2.360940
굴절코스,52N,332206.831381,4128610.294102,37.288980700000,127.107080800005,-49.314012,3.814833
굴절코스,52N,332208.184920,4128611.454694,37.288991399998,127.107095800003,-47.983881,5.002361
굴절코스,52N,332209.859560,4128611.820762,37.288995000003,127.107114600004,-46.316791,5.401897
굴절코스,52N,332211.594901,4128611.675017,37.288994000002,127.107134199997,-44.578763,5.290903
굴절코스,52N,332213.177293,4128610.977338,37.288988000004,127.107152199997,-42.982618,4.624987
굴절코스,52N,332214.742844,4128610.324396,37.288982400004,127.107170000001,-41.404207,4.003465
굴절코스,52N,332216.235697,4128609.584110,37.288976000000,127.107187000004,-39.896736,3.293156
굴절코스,52N,332217.838041,4128608.997032,37.288971000004,127.107205199999,-38.282855,2.738225
굴절코스,52N,332219.474291,4128608.331575,37.288965299999,127.107223799997,-36.633504,2.105605
굴절코스,52N,332221.087480,4128607.400182,37.288957199998,127.107242200000,-35.001888,1.206622
굴절코스,52N,332222.444449,4128606.074321,37.288945499996,127.107257800005,-33.618563,-0.091904
굴절코스,52N,332223.531243,4128604.542971,37.288931899998,127.107270399998,-32.501265,-1.601300
