source,utm_zone,utm_easting_m,utm_northing_m,latitude_deg,longitude_deg,x_m,y_m
곡선코스,52N,332196.892268,4128565.693754,37.288577100002,127.106978800001,-58.359168,-40.978511
곡선코스,52N,332197.280200,4128567.350977,37.288592100000,127.106982799996,-58.004455,-39.313744
곡선코스,52N,332197.542465,4128568.933017,37.288606399999,127.106985399998,-57.773888,-37.726665
곡선코스,52N,332197.582656,4128570.497304,37.288620500000,127.106985499994,-57.765010,-36.161782
곡선코스,52N,332197.541951,4128572.007711,37.288634100000,127.106984700005,-57.835939,-34.652390
곡선코스,52N,332197.216004,4128573.446130,37.288647000000,127.106980699996,-58.190631,-33.220686
곡선코스,52N,332196.429070,4128574.893780,37.288659900003,127.106971500000,-59.006434,-31.788978
곡선코스,52N,332195.525112,4128576.254973,37.288671999998,127.106961000004,-59.937515,-30.446058
곡선코스,52N,332194.170564,4128577.258891,37.288680799996,127.106945500001,-61.311975,-29.469383
곡선코스,52N,332192.489761,4128577.914145,37.288686400002,127.106926399996,-63.005669,-28.847856
곡선코스,52N,332190.757746,4128578.226326,37.288688900002,127.106906800005,-64.743702,-28.570381
곡선코스,52N,332188.901818,4128578.108091,37.288687500003,127.106885900003,-66.597017,-28.725745
곡선코스,52N,332187.070708,4128577.900560,37.288685300004,127.106865300002,-68.423730,-28.969896
곡선코스,52N,332185.292122,4128577.658677,37.288682799999,127.106845299998,-70.197238,-29.247344
곡선코스,52N,332183.555885,4128577.760045,37.288683399997,127.106825700001,-71.935273,-29.180739
곡선코스,52N,332181.822758,4128578.016751,37.288685400003,127.106806099995,-73.673307,-28.958753
곡선코스,52N,332180.322371,4128578.823793,37.288692400002,127.106789000004,-75.189647,-28.181848
곡선코스,52N,332178.853022,4128579.852212,37.288701399996,127.106772199995,-76.679383,-27.182973
곡선코스,52N,332178.574004,4128580.090899,37.288703500002,127.106769000003,-76.963141,-26.949902
곡선코스,52N,332178.504193,4128580.147797,37.288704000004,127.106768199995,-77.034081,-26.894409
곡선코스,52N,332177.866392,4128581.070764,37.288712199996,127.106760799995,-77.690270,-25.984330
곡선코스,52N,332177.259631,4128582.215110,37.288722400004,127.106753700000,-78.319853,-24.852279
곡선코스,52N,332176.869855,4128583.566008,37.288734499997,127.106748999999,-78.736614,-23.509362
곡선코스,52N,332176.702597,4128584.956851,37.288747000003,127.106746800002,-78.931687,-22.122052
곡선코스,52N,332176.633744,4128586.390122,37.288759899999,127.106745700000,-79.029216,-20.690349
곡선코스,52N,332176.762146,4128587.930443,37.288773800003,127.106746799995,-78.931659,-19.147663
곡선코스,52N,332177.217893,4128589.430908,37.288787400000,127.106751600005,-78.506003,-17.638276
곡선코스,52N,332177.654330,4128590.410063,37.288796300002,127.106756300000,-78.089221,-16.650517
곡선코스,52N,332177.681148,4128590.420626,37.288796400003,127.106756600004,-78.062618,-16.639418
곡선코스,52N,332178.029800,4128591.001941,37.288801700004,127.106760400005,-77.725647,-16.051203
