s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,0.8265,-0.0867,0.300,NORMAL,1,ROUTE,ROUTE_START,START,,0.000,PREVIEW_DEFAULT
0.1000,0.7273,-0.0746,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.1999,0.6280,-0.0626,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.2999,0.5288,-0.0505,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.3999,0.4295,-0.0385,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.4999,0.3303,-0.0264,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.5999,0.2310,-0.0143,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.6998,0.1318,-0.0023,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.7999,0.0325,0.0099,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.8999,-0.0668,0.0221,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.9998,-0.1659,0.0343,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.0998,-0.2652,0.0466,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.1998,-0.3644,0.0590,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.2997,-0.4636,0.0714,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.3998,-0.5628,0.0839,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.4997,-0.6620,0.0965,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.5998,-0.7612,0.1093,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.6997,-0.8603,0.1222,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.7997,-0.9595,0.1351,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.8997,-1.0586,0.1483,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.9997,-1.1577,0.1616,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.0997,-1.2568,0.1753,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.1997,-1.3558,0.1890,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.2996,-1.4547,0.2030,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.3996,-1.5537,0.2172,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.4995,-1.6526,0.2317,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.5996,-1.7515,0.2465,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.6995,-1.8504,0.2614,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.7995,-1.9492,0.2766,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.8995,-2.0480,0.2920,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.9995,-2.1468,0.3076,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.0995,-2.2455,0.3234,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.1994,-2.3442,0.3392,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.2994,-2.4429,0.3551,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.3994,-2.5416,0.3710,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.4994,-2.6403,0.3868,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.5994,-2.7391,0.4023,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.6993,-2.8379,0.4177,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.7993,-2.9367,0.4327,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.8993,-3.0357,0.4474,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.9993,-3.1346,0.4618,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.0993,-3.2336,0.4756,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.1992,-3.3327,0.4890,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.2992,-3.4318,0.5020,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.3992,-3.5310,0.5145,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.4992,-3.6303,0.5265,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.5992,-3.7296,0.5380,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.6992,-3.8290,0.5490,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.7992,-3.9284,0.5595,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.8992,-4.0279,0.5696,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.9992,-4.1274,0.5792,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.0991,-4.2269,0.5884,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.1992,-4.3266,0.5972,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.2991,-4.4262,0.6057,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.3991,-4.5258,0.6140,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.4990,-4.6254,0.6221,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.5990,-4.7251,0.6300,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.6991,-4.8249,0.6379,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.7990,-4.9245,0.6457,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.8990,-5.0242,0.6536,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
