s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,0.4655,0.7673,0.250,NORMAL,1
0.4076,0.0582,0.7508,0.250,NORMAL,1
0.8152,-0.3490,0.7343,0.250,NORMAL,1
1.1920,-0.7254,0.7187,0.250,NORMAL,1
1.5688,-1.1019,0.7029,0.250,NORMAL,1
1.9219,-1.4411,0.6047,0.250,NORMAL,1
2.2750,-1.7802,0.5065,0.250,NORMAL,1
2.6281,-2.1194,0.4082,0.250,NORMAL,1
3.1133,-2.5789,0.2525,0.250,NORMAL,1
3.5985,-3.0384,0.0967,0.250,NORMAL,1
4.0323,-3.4457,-0.0528,0.250,NORMAL,1
4.4661,-3.8529,-0.2021,0.250,NORMAL,1
4.9053,-4.2336,-0.4211,0.250,NORMAL,1
5.3445,-4.6143,-0.6401,0.250,NORMAL,1
5.7809,-4.9504,-0.9186,0.250,NORMAL,1
6.2173,-5.2864,-1.1971,0.250,NORMAL,1
6.6800,-5.5985,-1.5387,0.250,NORMAL,1
7.1427,-5.9105,-1.8803,0.250,NORMAL,1
7.5626,-6.1466,-2.2276,0.000,FINISH,1
