s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,2553.1504,-28018.1426,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.0999,2553.1025,-28018.2303,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.1999,2553.0545,-28018.3181,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.2999,2553.0068,-28018.4060,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.3999,2552.9590,-28018.4937,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.4999,2552.9112,-28018.5816,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.5998,2552.8634,-28018.6694,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.6998,2552.8157,-28018.7572,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.7999,2552.7677,-28018.8451,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.8998,2552.7198,-28018.9327,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
0.9997,2552.6719,-28019.0205,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.0998,2552.6238,-28019.1082,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.1998,2552.5757,-28019.1958,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.2997,2552.5276,-28019.2835,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.3997,2552.4795,-28019.3711,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.4997,2552.4313,-28019.4587,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.5996,2552.3832,-28019.5463,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.6997,2552.3352,-28019.6341,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.7996,2552.2871,-28019.7217,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.8996,2552.2391,-28019.8095,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
1.9996,2552.1911,-28019.8972,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.0995,2552.1432,-28019.9849,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.1995,2552.0954,-28020.0726,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.2995,2552.0475,-28020.1604,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.3995,2551.9995,-28020.2482,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.4995,2551.9516,-28020.3359,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.5995,2551.9037,-28020.4237,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.6995,2551.8557,-28020.5114,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.7994,2551.8077,-28020.5991,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.8995,2551.7595,-28020.6868,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
2.9995,2551.7113,-28020.7744,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.0994,2551.6631,-28020.8619,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.1994,2551.6148,-28020.9495,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.2994,2551.5665,-28021.0370,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.3994,2551.5180,-28021.1244,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.4994,2551.4695,-28021.2119,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.5993,2551.4209,-28021.2992,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.6993,2551.3723,-28021.3866,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.7992,2551.3236,-28021.4739,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.8992,2551.2749,-28021.5612,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
3.9992,2551.2261,-28021.6485,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
