s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-0.0191,0.7878,0.200,NORMAL,1
0.4889,-0.0125,0.2988,0.200,NORMAL,1
0.9779,-0.0060,-0.1900,0.200,NORMAL,1
1.4668,0.0006,-0.6789,0.200,NORMAL,1
1.9653,0.0072,-1.1773,0.200,NORMAL,1
2.4637,0.0138,-1.6757,0.200,NORMAL,1
2.9621,0.0204,-2.1741,0.200,NORMAL,1
3.3682,-0.0101,-2.5789,0.200,NORMAL,1
3.7742,-0.0407,-2.9839,0.200,NORMAL,1
4.0766,-0.0351,-3.2861,0.200,NORMAL,1
4.3789,-0.0294,-3.5884,0.200,NORMAL,1
4.7189,-0.0260,-3.9284,0.200,NORMAL,1
5.0588,-0.0225,-4.2683,0.200,NORMAL,1
5.4069,0.0182,-4.6140,0.200,NORMAL,1
5.7551,0.0589,-4.9598,0.200,NORMAL,1
6.0699,0.0633,-5.2745,0.200,NORMAL,1
6.3847,0.0677,-5.5894,0.200,NORMAL,1
6.6902,0.0868,-5.8942,0.200,NORMAL,1
6.9956,0.1058,-6.1991,0.200,NORMAL,1
7.3686,0.1226,-6.5717,0.200,NORMAL,1
7.7417,0.1393,-6.9444,0.200,NORMAL,1
8.0344,0.1488,-7.2369,0.200,NORMAL,1
8.3271,0.1583,-7.5295,0.200,NORMAL,1
8.6645,0.1318,-7.8659,0.200,NORMAL,1
9.0019,0.1053,-8.2023,0.200,NORMAL,1
9.3115,0.1290,-8.5110,0.200,NORMAL,1
9.6210,0.1525,-8.8196,0.200,NORMAL,1
9.9182,0.1683,-9.1164,0.200,NORMAL,1
10.2154,0.1842,-9.4131,0.200,NORMAL,1
10.4889,0.1766,-9.6865,0.200,NORMAL,1
10.7623,0.1689,-9.9598,0.200,NORMAL,1
11.0717,0.1701,-10.2693,0.200,NORMAL,1
11.3811,0.1714,-10.5786,0.200,NORMAL,1
11.7039,0.1537,-10.9009,0.200,NORMAL,1
12.0267,0.1361,-11.2232,0.200,NORMAL,1
12.3554,0.1551,-11.5513,0.200,NORMAL,1
12.6841,0.1741,-11.8795,0.200,NORMAL,1
13.0182,0.1572,-12.2132,0.200,NORMAL,1
13.3523,0.1403,-12.5469,0.200,NORMAL,1
13.6842,0.1459,-12.8787,0.200,NORMAL,1
14.0161,0.1515,-13.2106,0.200,NORMAL,1
14.1765,0.1654,-13.0508,0.200,NORMAL,1
14.4699,0.1786,-13.3440,0.200,NORMAL,1
14.7634,0.1921,-13.6371,0.200,NORMAL,1
15.0805,0.2257,-13.9525,0.200,NORMAL,1
15.3977,0.2593,-14.2678,0.200,NORMAL,1
15.7169,0.2362,-14.5862,0.200,NORMAL,1
16.0362,0.2132,-14.9047,0.200,NORMAL,1
16.3148,0.2232,-15.1831,0.200,NORMAL,1
16.5934,0.2332,-15.4616,0.200,NORMAL,1
16.9069,0.2611,-15.7738,0.200,NORMAL,1
17.2203,0.2890,-16.0859,0.200,NORMAL,1
17.5753,0.2676,-16.4403,0.200,NORMAL,1
17.9303,0.2463,-16.7946,0.200,NORMAL,1
18.2392,0.2574,-17.1034,0.200,NORMAL,1
18.5482,0.2686,-17.4121,0.200,NORMAL,1
18.9138,0.2623,-17.7777,0.200,NORMAL,1
19.2794,0.2562,-18.1433,0.200,NORMAL,1
19.6772,0.2810,-18.5402,0.200,NORMAL,1
20.0749,0.3060,-18.9372,0.200,NORMAL,1
20.4372,0.3314,-19.2986,0.200,NORMAL,1
20.7995,0.3568,-19.6600,0.200,NORMAL,1
21.2486,0.3508,-20.1090,0.200,NORMAL,1
21.6977,0.3450,-20.5581,0.200,NORMAL,1
22.0475,0.3480,-20.9079,0.200,NORMAL,1
22.3973,0.3511,-21.2577,0.200,NORMAL,1
22.7753,0.3889,-21.6338,0.200,NORMAL,1
23.1534,0.4268,-22.0100,0.200,NORMAL,1
23.5374,0.4111,-22.3937,0.200,NORMAL,1
23.9214,0.3953,-22.7773,0.200,NORMAL,1
24.3774,0.3996,-23.2333,0.200,NORMAL,1
24.8334,0.4039,-23.6893,0.200,NORMAL,1
25.1596,0.3989,-24.0155,0.200,NORMAL,1
25.4859,0.3941,-24.3417,0.200,NORMAL,1
25.8113,0.4443,-24.6631,0.200,NORMAL,1
26.1367,0.4946,-24.9847,0.200,NORMAL,1
26.4912,0.5107,-25.3388,0.200,NORMAL,1
26.8458,0.5268,-25.6931,0.200,NORMAL,1
27.1608,0.5040,-26.0072,0.200,NORMAL,1
27.4758,0.4810,-26.3214,0.200,NORMAL,1
27.8347,0.5219,-26.6780,0.200,NORMAL,1
28.1937,0.5627,-27.0346,0.200,NORMAL,1
28.5575,0.5670,-27.3985,0.200,NORMAL,1
28.9214,0.5713,-27.7623,0.200,NORMAL,1
29.2853,0.5756,-28.1262,0.200,NORMAL,1
29.3296,0.6178,-28.1398,0.200,NORMAL,1
29.6344,0.6692,-28.4402,0.200,NORMAL,1
29.9392,0.7205,-28.7407,0.000,FINISH,1
