s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,0.8076,-0.0785,0.200,S_OBSTACLE,1
0.0801,0.7279,-0.0713,0.200,S_OBSTACLE,1
0.1801,0.6284,-0.0618,0.200,S_OBSTACLE,1
0.2801,0.5289,-0.0520,0.200,S_OBSTACLE,1
0.3801,0.4294,-0.0420,0.200,S_OBSTACLE,1
0.4800,0.3300,-0.0318,0.200,S_OBSTACLE,1
0.5800,0.2305,-0.0215,0.200,S_OBSTACLE,1
0.6800,0.1311,-0.0111,0.200,S_OBSTACLE,1
0.7799,0.0316,-0.0007,0.200,S_OBSTACLE,1
0.8800,-0.0679,0.0095,0.200,S_OBSTACLE,1
0.9799,-0.1673,0.0197,0.200,S_OBSTACLE,1
1.0799,-0.2668,0.0298,0.200,S_OBSTACLE,1
1.1799,-0.3663,0.0396,0.200,S_OBSTACLE,1
1.2799,-0.4658,0.0493,0.200,S_OBSTACLE,1
1.3799,-0.5653,0.0587,0.200,S_OBSTACLE,1
1.4798,-0.6648,0.0679,0.200,S_OBSTACLE,1
1.5798,-0.7645,0.0769,0.200,S_OBSTACLE,1
1.6798,-0.8641,0.0857,0.200,S_OBSTACLE,1
1.7798,-0.9637,0.0943,0.200,S_OBSTACLE,1
1.8797,-1.0632,0.1030,0.200,S_OBSTACLE,1
1.9797,-1.1628,0.1115,0.200,S_OBSTACLE,1
2.0797,-1.2625,0.1202,0.200,S_OBSTACLE,1
2.1797,-1.3621,0.1288,0.200,S_OBSTACLE,1
2.2797,-1.4617,0.1374,0.200,S_OBSTACLE,1
2.3797,-1.5613,0.1462,0.200,S_OBSTACLE,1
2.4796,-1.6609,0.1550,0.200,S_OBSTACLE,1
2.5796,-1.7605,0.1637,0.200,S_OBSTACLE,1
2.6796,-1.8601,0.1725,0.200,S_OBSTACLE,1
2.7796,-1.9597,0.1810,0.200,S_OBSTACLE,1
2.8796,-2.0594,0.1893,0.200,S_OBSTACLE,1
2.9796,-2.1590,0.1973,0.200,S_OBSTACLE,1
3.0796,-2.2587,0.2049,0.200,S_OBSTACLE,1
3.1796,-2.3585,0.2122,0.200,S_OBSTACLE,1
3.2795,-2.4582,0.2189,0.200,S_OBSTACLE,1
3.3795,-2.5579,0.2252,0.200,S_OBSTACLE,1
3.4795,-2.6578,0.2311,0.200,S_OBSTACLE,1
3.5795,-2.7576,0.2364,0.200,S_OBSTACLE,1
3.6795,-2.8575,0.2413,0.200,S_OBSTACLE,1
3.7794,-2.9574,0.2456,0.200,S_OBSTACLE,1
3.8795,-3.0573,0.2493,0.200,S_OBSTACLE,1
3.9794,-3.1572,0.2525,0.200,S_OBSTACLE,1
4.0794,-3.2572,0.2550,0.200,S_OBSTACLE,1
4.1794,-3.3572,0.2570,0.200,S_OBSTACLE,1
4.2793,-3.4571,0.2581,0.200,S_OBSTACLE,1
4.3793,-3.5571,0.2586,0.200,S_OBSTACLE,1
4.4793,-3.6571,0.2583,0.200,S_OBSTACLE,1
4.5794,-3.7571,0.2570,0.200,S_OBSTACLE,1
4.6793,-3.8570,0.2550,0.200,S_OBSTACLE,1
4.7793,-3.9570,0.2518,0.200,S_OBSTACLE,1
4.8793,-4.0569,0.2478,0.200,S_OBSTACLE,1
4.9792,-4.1566,0.2426,0.200,S_OBSTACLE,1
5.0793,-4.2565,0.2362,0.200,S_OBSTACLE,1
5.1792,-4.3562,0.2288,0.200,S_OBSTACLE,1
5.2792,-4.4558,0.2201,0.200,S_OBSTACLE,1
5.3792,-4.5553,0.2101,0.200,S_OBSTACLE,1
5.4791,-4.6546,0.1989,0.200,S_OBSTACLE,1
5.5791,-4.7538,0.1863,0.200,S_OBSTACLE,1
5.6791,-4.8528,0.1724,0.200,S_OBSTACLE,1
5.7791,-4.9517,0.1573,0.200,S_OBSTACLE,1
5.8791,-5.0502,0.1407,0.200,S_OBSTACLE,1
5.9791,-5.1486,0.1228,0.200,S_OBSTACLE,1
6.0791,-5.2468,0.1037,0.200,S_OBSTACLE,1
6.1790,-5.3446,0.0834,0.200,S_OBSTACLE,1
6.2790,-5.4423,0.0618,0.200,S_OBSTACLE,1
6.3790,-5.5396,0.0390,0.200,S_OBSTACLE,1
6.4790,-5.6368,0.0151,0.200,S_OBSTACLE,1
6.5789,-5.7335,-0.0099,0.200,S_OBSTACLE,1
6.6789,-5.8300,-0.0359,0.200,S_OBSTACLE,1
6.7789,-5.9263,-0.0630,0.200,S_OBSTACLE,1
6.8789,-6.0223,-0.0909,0.200,S_OBSTACLE,1
6.9789,-6.1180,-0.1199,0.200,S_OBSTACLE,1
7.0788,-6.2134,-0.1496,0.200,S_OBSTACLE,1
7.1789,-6.3086,-0.1803,0.200,S_OBSTACLE,1
7.2789,-6.4035,-0.2118,0.200,S_OBSTACLE,1
7.3788,-6.4981,-0.2441,0.200,S_OBSTACLE,1
