s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-0.6914,0.4422,0.200,TRAFFIC,1
0.0222,-0.6730,0.4296,0.200,TRAFFIC,1
0.1223,-0.5907,0.3728,0.200,TRAFFIC,1
0.2222,-0.5086,0.3158,0.200,TRAFFIC,1
0.3222,-0.4266,0.2585,0.200,TRAFFIC,1
0.4222,-0.3449,0.2010,0.200,TRAFFIC,1
0.5221,-0.2634,0.1431,0.200,TRAFFIC,1
0.6222,-0.1822,0.0848,0.200,TRAFFIC,1
0.7221,-0.1012,0.0262,0.200,TRAFFIC,1
0.8221,-0.0205,-0.0329,0.200,TRAFFIC,1
0.9221,0.0599,-0.0924,0.200,TRAFFIC,1
1.0221,0.1399,-0.1523,0.200,TRAFFIC,1
1.1221,0.2196,-0.2127,0.200,TRAFFIC,1
1.2221,0.2990,-0.2736,0.200,TRAFFIC,1
1.3220,0.3779,-0.3348,0.200,TRAFFIC,1
1.4221,0.4567,-0.3966,0.200,TRAFFIC,1
1.5220,0.5350,-0.4587,0.200,TRAFFIC,1
1.6220,0.6131,-0.5211,0.200,TRAFFIC,1
1.7220,0.6910,-0.5837,0.200,TRAFFIC,1
1.8220,0.7688,-0.6466,0.200,TRAFFIC,1
1.9219,0.8464,-0.7095,0.200,TRAFFIC,1
2.0219,0.9242,-0.7724,0.200,TRAFFIC,1
2.1219,1.0021,-0.8350,0.200,TRAFFIC,1
2.2219,1.0804,-0.8973,0.200,TRAFFIC,1
2.3218,1.1591,-0.9589,0.200,TRAFFIC,1
2.4219,1.2385,-1.0197,0.200,TRAFFIC,1
2.5218,1.3186,-1.0794,0.200,TRAFFIC,1
2.6218,1.3999,-1.1377,0.200,TRAFFIC,1
2.7217,1.4821,-1.1944,0.200,TRAFFIC,1
2.8217,1.5657,-1.2493,0.200,TRAFFIC,1
2.9218,1.6507,-1.3021,0.200,TRAFFIC,1
3.0194,1.7351,-1.3511,0.200,TRAFFIC,1
3.0218,1.7372,-1.3523,0.200,TRAFFIC,1
3.1217,1.8253,-1.3995,0.200,TRAFFIC,1
3.2217,1.9143,-1.4450,0.000,FINISH,1
