s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-20.9794,12.1839,0.300,PERP_PARK,1
0.0840,-21.0514,12.2272,0.300,PERP_PARK,1
0.1840,-21.1354,12.2813,0.300,PERP_PARK,1
0.2840,-21.2178,12.3380,0.300,PERP_PARK,1
0.3839,-21.2985,12.3969,0.300,PERP_PARK,1
0.4839,-21.3777,12.4580,0.300,PERP_PARK,1
0.5839,-21.4553,12.5210,0.300,PERP_PARK,1
0.6839,-21.5315,12.5858,0.300,PERP_PARK,1
0.7838,-21.6063,12.6521,0.300,PERP_PARK,1
0.8839,-21.6798,12.7199,0.300,PERP_PARK,1
0.9839,-21.7521,12.7890,0.300,PERP_PARK,1
1.0838,-21.8232,12.8592,0.300,PERP_PARK,1
1.1838,-21.8934,12.9304,0.300,PERP_PARK,1
1.2838,-21.9626,13.0026,0.300,PERP_PARK,1
1.3838,-22.0310,13.0756,0.300,PERP_PARK,1
1.4838,-22.0986,13.1492,0.300,PERP_PARK,1
1.5838,-22.1655,13.2236,0.300,PERP_PARK,1
1.6837,-22.2318,13.2984,0.300,PERP_PARK,1
1.7836,-22.2975,13.3737,0.300,PERP_PARK,1
1.8837,-22.3628,13.4495,0.300,PERP_PARK,1
1.9837,-22.4275,13.5256,0.300,PERP_PARK,1
2.0836,-22.4919,13.6021,0.300,PERP_PARK,1
2.1836,-22.5560,13.6789,0.300,PERP_PARK,1
2.2836,-22.6198,13.7558,0.300,PERP_PARK,1
2.3836,-22.6833,13.8331,0.300,PERP_PARK,1
2.4836,-22.7466,13.9104,0.300,PERP_PARK,1
2.5835,-22.8098,13.9879,0.300,PERP_PARK,1
2.6836,-22.8727,14.0657,0.300,PERP_PARK,1
2.7836,-22.9356,14.1435,0.300,PERP_PARK,1
2.8835,-22.9982,14.2214,0.300,PERP_PARK,1
2.9834,-23.0608,14.2993,0.300,PERP_PARK,1
3.0835,-23.1233,14.3774,0.300,PERP_PARK,1
3.1835,-23.1858,14.4555,0.300,PERP_PARK,1
3.2834,-23.2481,14.5336,0.300,PERP_PARK,1
3.3835,-23.3105,14.6118,0.300,PERP_PARK,1
3.4834,-23.3728,14.6900,0.300,PERP_PARK,1
3.5834,-23.4350,14.7682,0.300,PERP_PARK,1
3.6834,-23.4973,14.8464,0.300,PERP_PARK,1
3.7834,-23.5595,14.9247,0.300,PERP_PARK,1
3.8833,-23.6218,15.0028,0.300,PERP_PARK,1
3.9833,-23.6841,15.0810,0.300,PERP_PARK,1
4.0833,-23.7465,15.1592,0.300,PERP_PARK,1
4.1833,-23.8088,15.2374,0.300,PERP_PARK,1
4.2833,-23.8712,15.3155,0.300,PERP_PARK,1
4.3833,-23.9337,15.3936,0.300,PERP_PARK,1
4.4832,-23.9961,15.4716,0.300,PERP_PARK,1
4.5832,-24.0586,15.5497,0.300,PERP_PARK,1
4.6832,-24.1212,15.6277,0.300,PERP_PARK,1
4.7832,-24.1839,15.7056,0.300,PERP_PARK,1
4.8831,-24.2466,15.7834,0.300,PERP_PARK,1
4.9832,-24.3094,15.8613,0.300,PERP_PARK,1
5.0831,-24.3723,15.9390,0.300,PERP_PARK,1
5.1831,-24.4351,16.0167,0.300,PERP_PARK,1
5.2831,-24.4982,16.0944,0.300,PERP_PARK,1
5.3831,-24.5611,16.1720,0.300,PERP_PARK,1
5.4831,-24.6243,16.2495,0.300,PERP_PARK,1
5.5830,-24.6874,16.3270,0.300,PERP_PARK,1
5.6830,-24.7507,16.4045,0.300,PERP_PARK,1
5.7830,-24.8140,16.4818,0.300,PERP_PARK,1
5.8830,-24.8774,16.5592,0.300,PERP_PARK,1
5.9830,-24.9409,16.6365,0.300,PERP_PARK,1
6.0830,-25.0043,16.7137,0.300,PERP_PARK,1
6.1829,-25.0679,16.7909,0.300,PERP_PARK,1
6.2829,-25.1316,16.8680,0.300,PERP_PARK,1
6.3829,-25.1952,16.9451,0.300,PERP_PARK,1
6.4829,-25.2589,17.0221,0.300,PERP_PARK,1
6.5828,-25.3227,17.0990,0.300,PERP_PARK,1
6.6828,-25.3866,17.1760,0.300,PERP_PARK,1
6.7828,-25.4505,17.2529,0.300,PERP_PARK,1
6.8828,-25.5144,17.3298,0.300,PERP_PARK,1
6.9828,-25.5784,17.4066,0.300,PERP_PARK,1
7.0827,-25.6424,17.4833,0.300,PERP_PARK,1
7.1827,-25.7065,17.5601,0.300,PERP_PARK,1
7.2827,-25.7706,17.6369,0.300,PERP_PARK,1
7.3827,-25.8347,17.7136,0.300,PERP_PARK,1
7.4828,-25.8989,17.7903,0.300,PERP_PARK,1
7.5827,-25.9631,17.8669,0.300,PERP_PARK,1
7.6827,-26.0274,17.9434,0.300,PERP_PARK,1
7.7827,-26.0917,18.0201,0.300,PERP_PARK,1
7.8827,-26.1560,18.0966,0.300,PERP_PARK,1
7.9826,-26.2204,18.1731,0.300,PERP_PARK,1
