s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-21.9315,11.3856,0.300,TRAFFIC,1
0.0429,-21.9219,11.3438,0.300,TRAFFIC,1
0.1429,-21.9010,11.2460,0.300,TRAFFIC,1
0.2429,-21.8820,11.1479,0.300,TRAFFIC,1
0.3428,-21.8643,11.0495,0.300,TRAFFIC,1
0.4428,-21.8476,10.9509,0.300,TRAFFIC,1
0.5427,-21.8317,10.8522,0.300,TRAFFIC,1
0.6427,-21.8164,10.7534,0.300,TRAFFIC,1
0.7428,-21.8015,10.6545,0.300,TRAFFIC,1
0.8427,-21.7868,10.5556,0.300,TRAFFIC,1
0.9426,-21.7721,10.4568,0.300,TRAFFIC,1
1.0426,-21.7575,10.3579,0.300,TRAFFIC,1
1.1426,-21.7427,10.2590,0.300,TRAFFIC,1
1.2426,-21.7278,10.1601,0.300,TRAFFIC,1
1.3425,-21.7127,10.0613,0.300,TRAFFIC,1
1.4425,-21.6974,9.9625,0.300,TRAFFIC,1
1.5425,-21.6819,9.8637,0.300,TRAFFIC,1
1.6425,-21.6662,9.7650,0.300,TRAFFIC,1
1.7425,-21.6503,9.6663,0.300,TRAFFIC,1
1.8424,-21.6343,9.5676,0.300,TRAFFIC,1
1.9425,-21.6181,9.4689,0.300,TRAFFIC,1
2.0424,-21.6019,9.3703,0.300,TRAFFIC,1
2.1424,-21.5856,9.2716,0.300,TRAFFIC,1
2.2424,-21.5694,9.1730,0.300,TRAFFIC,1
2.3423,-21.5531,9.0744,0.300,TRAFFIC,1
2.4423,-21.5367,8.9758,0.300,TRAFFIC,1
2.5422,-21.5204,8.8772,0.300,TRAFFIC,1
2.6423,-21.5040,8.7785,0.300,TRAFFIC,1
2.7422,-21.4875,8.6799,0.300,TRAFFIC,1
2.8422,-21.4706,8.5813,0.300,TRAFFIC,1
2.9422,-21.4535,8.4829,0.300,TRAFFIC,1
3.0422,-21.4358,8.3844,0.300,TRAFFIC,1
3.1421,-21.4176,8.2862,0.300,TRAFFIC,1
3.2421,-21.3987,8.1879,0.300,TRAFFIC,1
3.3421,-21.3792,8.0899,0.300,TRAFFIC,1
3.4421,-21.3589,7.9920,0.300,TRAFFIC,1
3.5420,-21.3378,7.8943,0.300,TRAFFIC,1
3.6420,-21.3163,7.7967,0.300,TRAFFIC,1
3.7420,-21.2942,7.6992,0.300,TRAFFIC,1
3.8419,-21.2717,7.6018,0.300,TRAFFIC,1
3.9420,-21.2488,7.5044,0.300,TRAFFIC,1
4.0420,-21.2259,7.4071,0.300,TRAFFIC,1
4.1419,-21.2029,7.3098,0.300,TRAFFIC,1
4.2418,-21.1801,7.2125,0.300,TRAFFIC,1
4.3418,-21.1575,7.1151,0.300,TRAFFIC,1
4.4418,-21.1351,7.0177,0.300,TRAFFIC,1
4.5418,-21.1131,6.9202,0.300,TRAFFIC,1
4.6417,-21.0915,6.8225,0.300,TRAFFIC,1
4.7417,-21.0703,6.7248,0.300,TRAFFIC,1
4.8417,-21.0495,6.6270,0.300,TRAFFIC,1
4.9417,-21.0292,6.5292,0.300,TRAFFIC,1
5.0416,-21.0092,6.4312,0.300,TRAFFIC,1
5.1417,-20.9896,6.3331,0.300,TRAFFIC,1
5.2416,-20.9703,6.2350,0.300,TRAFFIC,1
5.3416,-20.9514,6.1368,0.300,TRAFFIC,1
5.4416,-20.9328,6.0387,0.300,TRAFFIC,1
5.5416,-20.9144,5.9404,0.300,TRAFFIC,1
5.6415,-20.8964,5.8421,0.300,TRAFFIC,1
5.7415,-20.8785,5.7437,0.300,TRAFFIC,1
5.8147,-20.8656,5.6716,0.300,TRAFFIC,1
5.8414,-20.8609,5.6453,0.300,TRAFFIC,1
5.9414,-20.8432,5.5469,0.300,TRAFFIC,1
6.0414,-20.8262,5.4484,0.000,FINISH,1
