s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,-0.0425,-0.8127,0.300,PARALLEL_PARK,1,PARALLEL_PARK,PARALLEL_PARK_START,ENTER_ZONE,,0.000,PARALLEL_1_BYPASS_FORWARD
0.1000,-0.0317,-0.7133,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.2000,-0.0234,-0.6137,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.3000,-0.0176,-0.5139,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.3999,-0.0141,-0.4139,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.5000,-0.0130,-0.3139,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.6000,-0.0142,-0.2139,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.7000,-0.0178,-0.1140,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.8000,-0.0237,-0.0141,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
0.9000,-0.0318,0.0855,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.0000,-0.0421,0.1850,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.1000,-0.0546,0.2842,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.1999,-0.0691,0.3831,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.3000,-0.0857,0.4817,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.4000,-0.1043,0.5800,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.5000,-0.1249,0.6778,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.6000,-0.1473,0.7753,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.7000,-0.1717,0.8723,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.7999,-0.1977,0.9688,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
1.9000,-0.2256,1.0649,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
2.0000,-0.2552,1.1604,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
2.1000,-0.2864,1.2554,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
2.2000,-0.3193,1.3499,0.300,PARALLEL_PARK,1,PARALLEL_PARK,,,,0.000,PARALLEL_1_BYPASS_FORWARD
