s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-88.0526,-75.9062,0.300,S_OBSTACLE,1
0.0801,-88.0579,-75.9861,0.300,S_OBSTACLE,1
0.1801,-88.0650,-76.0858,0.300,S_OBSTACLE,1
0.2801,-88.0724,-76.1855,0.300,S_OBSTACLE,1
0.3801,-88.0800,-76.2852,0.300,S_OBSTACLE,1
0.4800,-88.0878,-76.3849,0.300,S_OBSTACLE,1
0.5800,-88.0957,-76.4846,0.300,S_OBSTACLE,1
0.6800,-88.1037,-76.5842,0.300,S_OBSTACLE,1
0.7799,-88.1117,-76.6838,0.300,S_OBSTACLE,1
0.8800,-88.1195,-76.7836,0.300,S_OBSTACLE,1
0.9799,-88.1273,-76.8832,0.300,S_OBSTACLE,1
1.0799,-88.1350,-76.9829,0.300,S_OBSTACLE,1
1.1799,-88.1424,-77.0826,0.300,S_OBSTACLE,1
1.2799,-88.1496,-77.1824,0.300,S_OBSTACLE,1
1.3799,-88.1567,-77.2821,0.300,S_OBSTACLE,1
1.4798,-88.1635,-77.3818,0.300,S_OBSTACLE,1
1.5798,-88.1700,-77.4816,0.300,S_OBSTACLE,1
1.6798,-88.1765,-77.5814,0.300,S_OBSTACLE,1
1.7798,-88.1827,-77.6812,0.300,S_OBSTACLE,1
1.8797,-88.1889,-77.7809,0.300,S_OBSTACLE,1
1.9797,-88.1950,-77.8807,0.300,S_OBSTACLE,1
2.0797,-88.2013,-77.9805,0.300,S_OBSTACLE,1
2.1797,-88.2075,-78.0803,0.300,S_OBSTACLE,1
2.2797,-88.2137,-78.1801,0.300,S_OBSTACLE,1
2.3797,-88.2201,-78.2799,0.300,S_OBSTACLE,1
2.4796,-88.2265,-78.3796,0.300,S_OBSTACLE,1
2.5796,-88.2328,-78.4794,0.300,S_OBSTACLE,1
2.6796,-88.2392,-78.5792,0.300,S_OBSTACLE,1
2.7796,-88.2453,-78.6790,0.300,S_OBSTACLE,1
2.8796,-88.2511,-78.7788,0.300,S_OBSTACLE,1
2.9796,-88.2568,-78.8786,0.300,S_OBSTACLE,1
3.0796,-88.2620,-78.9785,0.300,S_OBSTACLE,1
3.1796,-88.2668,-79.0784,0.300,S_OBSTACLE,1
3.2795,-88.2712,-79.1783,0.300,S_OBSTACLE,1
3.3795,-88.2751,-79.2781,0.300,S_OBSTACLE,1
3.4795,-88.2785,-79.3781,0.300,S_OBSTACLE,1
3.5795,-88.2814,-79.4781,0.300,S_OBSTACLE,1
3.6795,-88.2839,-79.5780,0.300,S_OBSTACLE,1
3.7794,-88.2858,-79.6779,0.300,S_OBSTACLE,1
3.8795,-88.2871,-79.7780,0.300,S_OBSTACLE,1
3.9794,-88.2879,-79.8779,0.300,S_OBSTACLE,1
4.0794,-88.2880,-79.9779,0.300,S_OBSTACLE,1
4.1794,-88.2875,-80.0779,0.300,S_OBSTACLE,1
4.2793,-88.2862,-80.1778,0.300,S_OBSTACLE,1
4.3793,-88.2844,-80.2778,0.300,S_OBSTACLE,1
4.4793,-88.2816,-80.3778,0.300,S_OBSTACLE,1
4.5794,-88.2779,-80.4777,0.300,S_OBSTACLE,1
4.6793,-88.2734,-80.5776,0.300,S_OBSTACLE,1
4.7793,-88.2679,-80.6774,0.300,S_OBSTACLE,1
4.8793,-88.2614,-80.7772,0.300,S_OBSTACLE,1
4.9792,-88.2538,-80.8768,0.300,S_OBSTACLE,1
5.0793,-88.2451,-80.9765,0.300,S_OBSTACLE,1
5.1792,-88.2352,-81.0759,0.300,S_OBSTACLE,1
5.2792,-88.2241,-81.1753,0.300,S_OBSTACLE,1
5.3792,-88.2118,-81.2745,0.300,S_OBSTACLE,1
5.4791,-88.1981,-81.3735,0.300,S_OBSTACLE,1
5.5791,-88.1832,-81.4724,0.300,S_OBSTACLE,1
5.6791,-88.1669,-81.5711,0.300,S_OBSTACLE,1
5.7791,-88.1494,-81.6695,0.300,S_OBSTACLE,1
5.8791,-88.1304,-81.7677,0.300,S_OBSTACLE,1
5.9791,-88.1102,-81.8656,0.300,S_OBSTACLE,1
6.0791,-88.0887,-81.9633,0.300,S_OBSTACLE,1
6.1790,-88.0660,-82.0606,0.300,S_OBSTACLE,1
6.2790,-88.0421,-82.1577,0.300,S_OBSTACLE,1
6.3790,-88.0169,-82.2545,0.300,S_OBSTACLE,1
6.4790,-87.9907,-82.3510,0.300,S_OBSTACLE,1
6.5789,-87.9634,-82.4471,0.300,S_OBSTACLE,1
6.6789,-87.9351,-82.5430,0.300,S_OBSTACLE,1
6.7789,-87.9057,-82.6386,0.300,S_OBSTACLE,1
6.8789,-87.8755,-82.7338,0.300,S_OBSTACLE,1
6.9789,-87.8442,-82.8289,0.300,S_OBSTACLE,1
7.0788,-87.8122,-82.9235,0.300,S_OBSTACLE,1
7.1789,-87.7792,-83.0179,0.300,S_OBSTACLE,1
7.2789,-87.7454,-83.1121,0.300,S_OBSTACLE,1
7.3788,-87.7108,-83.2059,0.300,S_OBSTACLE,1
7.4788,-87.6755,-83.2993,0.300,S_OBSTACLE,1
7.5788,-87.6393,-83.3926,0.300,S_OBSTACLE,1
7.6787,-87.6025,-83.4855,0.300,S_OBSTACLE,1
7.7787,-87.5648,-83.5781,0.300,S_OBSTACLE,1
7.8788,-87.5263,-83.6705,0.300,S_OBSTACLE,1
7.9787,-87.4871,-83.7624,0.300,S_OBSTACLE,1
8.0787,-87.4470,-83.8540,0.300,S_OBSTACLE,1
8.1787,-87.4062,-83.9452,0.300,S_OBSTACLE,1
8.2786,-87.3643,-84.0360,0.300,S_OBSTACLE,1
8.3787,-87.3217,-84.1265,0.300,S_OBSTACLE,1
8.4786,-87.2780,-84.2164,0.300,S_OBSTACLE,1
8.5786,-87.2332,-84.3058,0.300,S_OBSTACLE,1
8.6786,-87.1874,-84.3947,0.300,S_OBSTACLE,1
8.7786,-87.1405,-84.4830,0.300,S_OBSTACLE,1
8.8786,-87.0924,-84.5707,0.300,S_OBSTACLE,1
8.9785,-87.0432,-84.6577,0.300,S_OBSTACLE,1
9.0785,-86.9928,-84.7439,0.300,S_OBSTACLE,1
9.1785,-86.9410,-84.8295,0.300,S_OBSTACLE,1
9.2785,-86.8879,-84.9143,0.300,S_OBSTACLE,1
9.3784,-86.8337,-84.9982,0.300,S_OBSTACLE,1
9.4784,-86.7782,-85.0814,0.300,S_OBSTACLE,1
9.5784,-86.7213,-85.1636,0.300,S_OBSTACLE,1
9.6784,-86.6630,-85.2449,0.300,S_OBSTACLE,1
9.7784,-86.6035,-85.3252,0.300,S_OBSTACLE,1
9.8784,-86.5426,-85.4045,0.300,S_OBSTACLE,1
9.9784,-86.4803,-85.4828,0.300,S_OBSTACLE,1
10.0783,-86.4168,-85.5600,0.300,S_OBSTACLE,1
10.1783,-86.3519,-85.6360,0.300,S_OBSTACLE,1
10.2783,-86.2855,-85.7108,0.300,S_OBSTACLE,1
10.3783,-86.2180,-85.7846,0.300,S_OBSTACLE,1
10.4783,-86.1491,-85.8569,0.300,S_OBSTACLE,1
10.5783,-86.0789,-85.9282,0.300,S_OBSTACLE,1
10.6782,-86.0075,-85.9981,0.300,S_OBSTACLE,1
10.7782,-85.9348,-86.0667,0.300,S_OBSTACLE,1
10.8781,-85.8609,-86.1340,0.300,S_OBSTACLE,1
10.9781,-85.7858,-86.2000,0.300,S_OBSTACLE,1
11.0782,-85.7095,-86.2648,0.300,S_OBSTACLE,1
11.1781,-85.6323,-86.3282,0.300,S_OBSTACLE,1
11.2781,-85.5540,-86.3904,0.300,S_OBSTACLE,1
11.3781,-85.4748,-86.4514,0.300,S_OBSTACLE,1
11.4781,-85.3947,-86.5113,0.300,S_OBSTACLE,1
11.5780,-85.3138,-86.5700,0.300,S_OBSTACLE,1
11.6781,-85.2321,-86.6278,0.300,S_OBSTACLE,1
11.7781,-85.1498,-86.6845,0.300,S_OBSTACLE,1
11.8780,-85.0669,-86.7403,0.300,S_OBSTACLE,1
11.9780,-84.9832,-86.7952,0.300,S_OBSTACLE,1
12.0780,-84.8991,-86.8491,0.300,S_OBSTACLE,1
