s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-0.6553,0.4481,0.150,PERP_PARK,1
0.0840,-0.5856,0.4010,0.150,PERP_PARK,1
0.1840,-0.5046,0.3425,0.150,PERP_PARK,1
0.2840,-0.4253,0.2816,0.150,PERP_PARK,1
0.3839,-0.3479,0.2184,0.150,PERP_PARK,1
0.4839,-0.2720,0.1532,0.150,PERP_PARK,1
0.5839,-0.1979,0.0862,0.150,PERP_PARK,1
0.6839,-0.1252,0.0174,0.150,PERP_PARK,1
0.7838,-0.0541,-0.0528,0.150,PERP_PARK,1
0.8839,0.0157,-0.1244,0.150,PERP_PARK,1
0.9839,0.0843,-0.1972,0.150,PERP_PARK,1
1.0838,0.1515,-0.2711,0.150,PERP_PARK,1
1.1838,0.2178,-0.3459,0.150,PERP_PARK,1
1.2838,0.2831,-0.4217,0.150,PERP_PARK,1
1.3838,0.3475,-0.4982,0.150,PERP_PARK,1
1.4838,0.4111,-0.5753,0.150,PERP_PARK,1
1.5838,0.4740,-0.6531,0.150,PERP_PARK,1
1.6837,0.5362,-0.7314,0.150,PERP_PARK,1
1.7836,0.5978,-0.8100,0.150,PERP_PARK,1
1.8837,0.6590,-0.8892,0.150,PERP_PARK,1
1.9837,0.7196,-0.9687,0.150,PERP_PARK,1
2.0836,0.7798,-1.0484,0.150,PERP_PARK,1
2.1836,0.8397,-1.1285,0.150,PERP_PARK,1
2.2836,0.8994,-1.2088,0.150,PERP_PARK,1
2.3836,0.9587,-1.2893,0.150,PERP_PARK,1
2.4836,1.0178,-1.3699,0.150,PERP_PARK,1
2.5835,1.0767,-1.4506,0.150,PERP_PARK,1
2.6836,1.1355,-1.5316,0.150,PERP_PARK,1
2.7836,1.1941,-1.6126,0.150,PERP_PARK,1
2.8835,1.2525,-1.6937,0.150,PERP_PARK,1
2.9834,1.3109,-1.7748,0.150,PERP_PARK,1
3.0835,1.3692,-1.8561,0.150,PERP_PARK,1
3.1835,1.4274,-1.9375,0.150,PERP_PARK,1
3.2834,1.4855,-2.0188,0.150,PERP_PARK,1
3.3835,1.5436,-2.1002,0.150,PERP_PARK,1
3.4834,1.6017,-2.1816,0.150,PERP_PARK,1
3.5834,1.6597,-2.2630,0.150,PERP_PARK,1
3.6834,1.7177,-2.3444,0.150,PERP_PARK,1
3.7834,1.7757,-2.4258,0.150,PERP_PARK,1
3.8833,1.8337,-2.5072,0.150,PERP_PARK,1
3.9833,1.8918,-2.5886,0.150,PERP_PARK,1
4.0833,1.9499,-2.6700,0.150,PERP_PARK,1
4.1833,2.0080,-2.7514,0.150,PERP_PARK,1
4.2833,2.0662,-2.8327,0.150,PERP_PARK,1
4.3833,2.1244,-2.9140,0.150,PERP_PARK,1
4.4832,2.1826,-2.9952,0.150,PERP_PARK,1
4.5832,2.2409,-3.0765,0.150,PERP_PARK,1
4.6832,2.2992,-3.1577,0.150,PERP_PARK,1
4.7832,2.3577,-3.2388,0.150,PERP_PARK,1
4.8831,2.4162,-3.3199,0.150,PERP_PARK,1
4.9832,2.4747,-3.4010,0.150,PERP_PARK,1
5.0831,2.5334,-3.4819,0.150,PERP_PARK,1
5.1831,2.5921,-3.5629,0.150,PERP_PARK,1
5.2831,2.6509,-3.6438,0.150,PERP_PARK,1
5.3831,2.7096,-3.7246,0.150,PERP_PARK,1
5.4831,2.7686,-3.8054,0.150,PERP_PARK,1
5.5830,2.8275,-3.8861,0.150,PERP_PARK,1
5.6830,2.8866,-3.9668,0.150,PERP_PARK,1
5.7830,2.9457,-4.0474,0.150,PERP_PARK,1
5.8830,3.0049,-4.1280,0.150,PERP_PARK,1
5.9830,3.0642,-4.2086,0.150,PERP_PARK,1
6.0830,3.1234,-4.2891,0.150,PERP_PARK,1
6.1829,3.1828,-4.3695,0.150,PERP_PARK,1
6.2829,3.2423,-4.4499,0.150,PERP_PARK,1
6.3829,3.3018,-4.5303,0.150,PERP_PARK,1
6.4829,3.3613,-4.6106,0.150,PERP_PARK,1
6.5828,3.4209,-4.6908,0.150,PERP_PARK,1
6.6828,3.4806,-4.7710,0.150,PERP_PARK,1
6.7828,3.5403,-4.8512,0.150,PERP_PARK,1
6.8828,3.6000,-4.9314,0.150,PERP_PARK,1
6.9828,3.6599,-5.0115,0.150,PERP_PARK,1
7.0827,3.7197,-5.0915,0.150,PERP_PARK,1
7.1827,3.7796,-5.1716,0.150,PERP_PARK,1
7.2827,3.8396,-5.2517,0.150,PERP_PARK,1
7.3827,3.8995,-5.3316,0.150,PERP_PARK,1
7.4828,3.9596,-5.4117,0.150,PERP_PARK,1
7.5827,4.0196,-5.4916,0.150,PERP_PARK,1
7.6827,4.0798,-5.5714,0.150,PERP_PARK,1
7.7827,4.1399,-5.6514,0.150,PERP_PARK,1
7.8827,4.2000,-5.7312,0.150,PERP_PARK,1
7.9826,4.2603,-5.8110,0.150,PERP_PARK,1
8.0826,4.3204,-5.8909,0.150,PERP_PARK,1
8.1826,4.3807,-5.9707,0.150,PERP_PARK,1
8.2825,4.4410,-6.0504,0.150,PERP_PARK,1
8.3826,4.5013,-6.1302,0.150,PERP_PARK,1
8.4826,4.5616,-6.2099,0.150,PERP_PARK,1
8.5825,4.6219,-6.2896,0.150,PERP_PARK,1
8.6825,4.6823,-6.3694,0.150,PERP_PARK,1
8.7825,4.7427,-6.4490,0.150,PERP_PARK,1
8.8824,4.8031,-6.5287,0.150,PERP_PARK,1
8.9824,4.8634,-6.6084,0.150,PERP_PARK,1
9.0824,4.9238,-6.6881,0.150,PERP_PARK,1
9.1825,4.9843,-6.7678,0.150,PERP_PARK,1
9.2824,5.0448,-6.8473,0.150,PERP_PARK,1
9.3824,5.1052,-6.9270,0.150,PERP_PARK,1
9.4823,5.1656,-7.0067,0.150,PERP_PARK,1
